(-0.10000000000000001, 0.026315789473684209, 0.068421052631578938)	[ 0.13808461 -0.03633806  0.99294691]
(-0.10000000000000001, 0.026315789473684209, 0.078947368421052627)	[ 0.16225475 -0.04269862  1.02229997]
(-0.10000000000000001, 0.026315789473684209, 0.089473684210526316)	[ 0.18743489 -0.04932497  1.05659375]
(-0.10000000000000001, 0.026315789473684209, 0.10000000000000001)	[ 0.21374123 -0.05624769  1.09610062]
(-0.10000000000000001, 0.036842105263157898, -0.10000000000000001)	[-0.22239578  0.08193529  1.10230457]
(-0.10000000000000001, 0.036842105263157898, -0.089473684210526316)	[-0.19568601  0.07209484  1.06131817]
(-0.10000000000000001, 0.036842105263157898, -0.078947368421052641)	[-0.170165    0.06269237  1.02561608]
(-0.10000000000000001, 0.036842105263157898, -0.068421052631578952)	[-0.14571479  0.0536844   0.99490748]
(-0.10000000000000001, 0.036842105263157898, -0.05789473684210527)	[-0.12220716  0.04502369  0.96894228]
(-0.10000000000000001, 0.036842105263157898, -0.047368421052631587)	[-0.09950724  0.03666056  0.94750934]
(-0.10000000000000001, 0.036842105263157898, -0.036842105263157898)	[-0.07747604  0.0285438   0.93043469]
(-0.10000000000000001, 0.036842105263157898, -0.026315789473684223)	[-0.05597213  0.02062131  0.91757999]
(-0.10000000000000001, 0.036842105263157898, -0.015789473684210534)	[-0.03485281  0.01284051  0.90884129]
(-0.10000000000000001, 0.036842105263157898, -0.0052631578947368446)	[-0.01397471  0.00514858  0.90414801]
(-0.10000000000000001, 0.036842105263157898, 0.0052631578947368307)	[ 0.00680576 -0.00250739  0.90346225]
(-0.10000000000000001, 0.036842105263157898, 0.01578947368421052)	[ 0.02763225 -0.0101803   0.90677845]
(-0.10000000000000001, 0.036842105263157898, 0.026315789473684209)	[ 0.04864829 -0.01792305  0.91412326]
(-0.10000000000000001, 0.036842105263157898, 0.036842105263157898)	[ 0.06999712 -0.02578841  0.92555587]
(-0.10000000000000001, 0.036842105263157898, 0.04736842105263156)	[ 0.09182138 -0.03382893  0.94116855]
(-0.10000000000000001, 0.036842105263157898, 0.057894736842105249)	[ 0.11426254 -0.04209673  0.9610875 ]
(-0.10000000000000001, 0.036842105263157898, 0.068421052631578938)	[ 0.13745991 -0.05064312  0.98547407]
(-0.10000000000000001, 0.036842105263157898, 0.078947368421052627)	[ 0.16154912 -0.0595181   1.01452615]
(-0.10000000000000001, 0.036842105263157898, 0.089473684210526316)	[ 0.18665991 -0.06876944  1.04847984]
(-0.10000000000000001, 0.036842105263157898, 0.10000000000000001)	[ 0.21291286 -0.07844158  1.08761119]
(-0.10000000000000001, 0.04736842105263156, -0.10000000000000001)	[-0.22124081  0.10479828  1.09080451]
(-0.10000000000000001, 0.04736842105263156, -0.089473684210526316)	[-0.19460038  0.09217913  1.05034705]
(-0.10000000000000001, 0.04736842105263156, -0.078947368421052641)	[-0.16917094  0.0801336   1.01512554]
(-0.10000000000000001, 0.04736842105263156, -0.068421052631578952)	[-0.14482837  0.06860291  0.98484426]
(-0.10000000000000001, 0.04736842105263156, -0.05789473684210527)	[-0.12143978  0.05752411  0.95924993]
(-0.10000000000000001, 0.04736842105263156, -0.047368421052631587)	[-0.09886682  0.04683165  0.93812943]
(-0.10000000000000001, 0.04736842105263156, -0.036842105263157898)	[-0.07696794  0.0364585   0.92130762]
(-0.10000000000000001, 0.04736842105263156, -0.026315789473684223)	[-0.05559985  0.02633677  0.90864555]
(-0.10000000000000001, 0.04736842105263156, -0.015789473684210534)	[-0.0346185   0.01639824  0.90003897]
(-0.10000000000000001, 0.04736842105263156, -0.0052631578947368446)	[-0.01387955  0.00657452  0.8954172 ]
(-0.10000000000000001, 0.04736842105263156, 0.0052631578947368307)	[ 0.00676139 -0.00320276  0.89474232]
(-0.10000000000000001, 0.04736842105263156, 0.01578947368421052)	[ 0.02744864 -0.01300199  0.89800877]
(-0.10000000000000001, 0.04736842105263156, 0.026315789473684209)	[ 0.04832646 -0.02289148  0.90524327]
(-0.10000000000000001, 0.04736842105263156, 0.036842105263157898)	[ 0.06953902 -0.03293954  0.91650514]
(-0.10000000000000001, 0.04736842105263156, 0.04736842105263156)	[ 0.09123017 -0.04321429  0.93188691]
(-0.10000000000000001, 0.04736842105263156, 0.057894736842105249)	[ 0.11354307 -0.05378356  0.95151533]
(-0.10000000000000001, 0.04736842105263156, 0.068421052631578938)	[ 0.13661933 -0.06471442  0.97555279]
(-0.10000000000000001, 0.04736842105263156, 0.078947368421052627)	[ 0.1605978  -0.07607264  1.00419891]
(-0.10000000000000001, 0.04736842105263156, 0.089473684210526316)	[ 0.18561246 -0.08792169  1.03769264]
(-0.10000000000000001, 0.04736842105263156, 0.10000000000000001)	[ 0.21178956 -0.10032137  1.0763144 ]
(-0.10000000000000001, 0.057894736842105249, -0.10000000000000001)	[-0.21976524  0.12723251  1.07646464]
(-0.10000000000000001, 0.057894736842105249, -0.089473684210526316)	[-0.19321944  0.11186388  1.03668321]
(-0.10000000000000001, 0.057894736842105249, -0.078947368421052641)	[-0.16791068  0.09721145  1.00207322]
(-0.10000000000000001, 0.057894736842105249, -0.068421052631578952)	[-0.14370748  0.08319907  0.97233378]
(-0.10000000000000001, 0.057894736842105249, -0.05789473684210527)	[-0.12047139  0.06974659  0.94720841]
(-0.10000000000000001, 0.057894736842105249, -0.047368421052631587)	[-0.09805992  0.05677153  0.92648211]
(-0.10000000000000001, 0.057894736842105249, -0.036842105263157898)	[-0.07632852  0.0441902   0.90997876]
(-0.10000000000000001, 0.057894736842105249, -0.026315789473684223)	[-0.05513178  0.0319184   0.897559  ]
(-0.10000000000000001, 0.057894736842105249, -0.015789473684210534)	[-0.0343241   0.01987185  0.88911846]
(-0.10000000000000001, 0.057894736842105249, -0.0052631578947368446)	[-0.01376006  0.00796635  0.88458649]
(-0.10000000000000001, 0.057894736842105249, 0.0052631578947368307)	[ 0.00670555 -0.00388216  0.88392522]
(-0.10000000000000001, 0.057894736842105249, 0.01578947368421052)	[ 0.0272178  -0.01575767  0.88712914]
(-0.10000000000000001, 0.057894736842105249, 0.026315789473684209)	[ 0.04792174 -0.02774417  0.89422497]
(-0.10000000000000001, 0.057894736842105249, 0.036842105263157898)	[ 0.06896252 -0.03992567  0.90527203]
(-0.10000000000000001, 0.057894736842105249, 0.04736842105263156)	[ 0.09048538 -0.05238627  0.92036297]
(-0.10000000000000001, 0.057894736842105249, 0.057894736842105249)	[ 0.11263539 -0.06520996  0.93962494]
(-0.10000000000000001, 0.057894736842105249, 0.068421052631578938)	[ 0.1355569  -0.07848031  0.96322114]
(-0.10000000000000001, 0.057894736842105249, 0.078947368421052627)	[ 0.15939248 -0.09227986  0.99135284]
(-0.10000000000000001, 0.057894736842105249, 0.089473684210526316)	[ 0.18428122 -0.10668913  1.0242618 ]
(-0.10000000000000001, 0.057894736842105249, 0.10000000000000001)	[ 0.21035612 -0.12178512  1.06223301]
(-0.10000000000000001, 0.068421052631578938, -0.10000000000000001)	[-0.21794962  0.14912342  1.05931521]
(-0.10000000000000001, 0.068421052631578938, -0.089473684210526316)	[-0.19152875  0.13104599  1.02036538]
(-0.10000000000000001, 0.068421052631578938, -0.078947368421052641)	[-0.16637374  0.11383466  0.98650385]
(-0.10000000000000001, 0.068421052631578938, -0.068421052631578952)	[-0.14234464  0.0973937   0.95742493]
(-0.10000000000000001, 0.068421052631578938, -0.05789473684210527)	[-0.11929673  0.08162408  0.93286941]
(-0.10000000000000001, 0.068421052631578938, -0.047368421052631587)	[-0.09708294  0.06642517  0.9126209 ]
(-0.10000000000000001, 0.068421052631578938, -0.036842105263157898)	[-0.07555541  0.05169581  0.89650279]
(-0.10000000000000001, 0.068421052631578938, -0.026315789473684223)	[-0.05456642  0.03733492  0.8843757 ]
(-0.10000000000000001, 0.068421052631578938, -0.015789473684210534)	[-0.03396878  0.0232418   0.87613549]
(-0.10000000000000001, 0.068421052631578938, -0.0052631578947368446)	[-0.01361596  0.00931618  0.87171176]
(-0.10000000000000001, 0.068421052631578938, 0.0052631578947368307)	[ 0.00663806 -0.00454183  0.87106685]
(-0.10000000000000001, 0.068421052631578938, 0.01578947368421052)	[ 0.02693904 -0.01843198  0.87419529]
(-0.10000000000000001, 0.068421052631578938, 0.026315789473684209)	[ 0.0474328  -0.03245402  0.88112372]
(-0.10000000000000001, 0.068421052631578938, 0.036842105263157898)	[ 0.06826548 -0.04670796  0.89191129]
(-0.10000000000000001, 0.068421052631578938, 0.04736842105263156)	[ 0.08958374 -0.06129414  0.90665048]
(-0.10000000000000001, 0.068421052631578938, 0.057894736842105249)	[ 0.11153474 -0.07631324  0.92546841]
(-0.10000000000000001, 0.068421052631578938, 0.068421052631578938)	[ 0.13426578 -0.09186606  0.9485287 ]
(-0.10000000000000001, 0.068421052631578938, 0.078947368421052627)	[ 0.1579236  -0.10805299  0.97603377]
(-0.10000000000000001, 0.068421052631578938, 0.089473684210526316)	[ 0.18265302 -0.12497312  1.00822771]
(-0.10000000000000001, 0.068421052631578938, 0.10000000000000001)	[ 0.20859474 -0.14272272  1.04539973]
(-0.10000000000000001, 0.078947368421052627, -0.10000000000000001)	[-0.21577244  0.17034666  1.03939911]
(-0.10000000000000001, 0.078947368421052627, -0.089473684210526316)	[-0.18951261  0.14961522  1.00144518]
(-0.10000000000000001, 0.078947368421052627, -0.078947368421052641)	[-0.16454879  0.12990694  0.96847506]
(-0.10000000000000001, 0.078947368421052627, -0.068421052631578952)	[-0.14073186  0.1111041   0.94017937]
(-0.10000000000000001, 0.078947368421052627, -0.05789473684210527)	[-0.11791032  0.0930871   0.91629717]
(-0.10000000000000001, 0.078947368421052627, -0.047368421052631587)	[-0.09593222  0.07573596  0.89661166]
(-0.10000000000000001, 0.078947368421052627, -0.036842105263157898)	[-0.07464625  0.05893125  0.88094649]
(-0.10000000000000001, 0.078947368421052627, -0.026315789473684223)	[-0.05390236  0.04255449  0.86916294]
(-0.10000000000000001, 0.078947368421052627, -0.015789473684210534)	[-0.03355179  0.02648826  0.86115758]
(-0.10000000000000001, 0.078947368421052627, -0.0052631578947368446)	[-0.01344701  0.01061606  0.85686063]
(-0.10000000000000001, 0.078947368421052627, 0.0052631578947368307)	[ 0.0065587  -0.00517792  0.8562348 ]
(-0.10000000000000001, 0.078947368421052627, 0.01578947368421052)	[ 0.02661167 -0.02100921  0.85927471]
(-0.10000000000000001, 0.078947368421052627, 0.026315789473684209)	[ 0.04685834 -0.03699343  0.8660068 ]
(-0.10000000000000001, 0.078947368421052627, 0.036842105263157898)	[ 0.06744576 -0.05324665  0.87648974]
(-0.10000000000000001, 0.078947368421052627, 0.04736842105263156)	[ 0.08852196 -0.06988576  0.89081538]
(-0.10000000000000001, 0.078947368421052627, 0.057894736842105249)	[ 0.11023616 -0.08702855  0.90911027]
(-0.10000000000000001, 0.078947368421052627, 0.068421052631578938)	[ 0.13273876 -0.10479376  0.93153768]
(-0.10000000000000001, 0.078947368421052627, 0.078947368421052627)	[ 0.1561809  -0.12330071  0.95830029]
(-0.10000000000000001, 0.078947368421052627, 0.089473684210526316)	[ 0.18071353 -0.14266857  0.98964359]
(-0.10000000000000001, 0.078947368421052627, 0.10000000000000001)	[ 0.20648574 -0.16301506  1.02585988]
(-0.10000000000000001, 0.089473684210526316, -0.10000000000000001)	[-0.21321115  0.19076787  1.01677503]
(-0.10000000000000001, 0.089473684210526316, -0.089473684210526316)	[-0.18715478  0.16745427  0.9799895 ]
(-0.10000000000000001, 0.089473684210526316, -0.078947368421052641)	[-0.16242442  0.14532711  0.94805917]
(-0.10000000000000001, 0.089473684210526316, -0.068421052631578952)	[-0.13886129  0.12424431  0.92067283]
(-0.10000000000000001, 0.089473684210526316, -0.05789473684210527)	[-0.1163069   0.10406407  0.89756949]
(-0.10000000000000001, 0.089473684210526316, -0.047368421052631587)	[-0.09460434  0.08464599  0.87853325]
(-0.10000000000000001, 0.089473684210526316, -0.036842105263157898)	[-0.07359892  0.06585166  0.86338924]
(-0.10000000000000001, 0.089473684210526316, -0.026315789473684223)	[-0.05313834  0.04754483  0.85200026]
(-0.10000000000000001, 0.089473684210526316, -0.015789473684210534)	[-0.03307249  0.02959117  0.84426429]
(-0.10000000000000001, 0.089473684210526316, -0.0052631578947368446)	[-0.013253    0.01185794  0.84011261]
(-0.10000000000000001, 0.089473684210526316, 0.0052631578947368307)	[ 0.00646731 -0.00578654  0.83950856]
(-0.10000000000000001, 0.089473684210526316, 0.01578947368421052)	[ 0.0262351  -0.02347351  0.84244687]
(-0.10000000000000001, 0.089473684210526316, 0.026315789473684209)	[ 0.04619723 -0.04133437  0.84895361]
(-0.10000000000000001, 0.089473684210526316, 0.036842105263157898)	[ 0.06650144 -0.05950129  0.8590866 ]
(-0.10000000000000001, 0.089473684210526316, 0.04736842105263156)	[ 0.08729695 -0.0781078   0.87293648]
(-0.10000000000000001, 0.089473684210526316, 0.057894736842105249)	[ 0.10873492 -0.09728914  0.89062837]
(-0.10000000000000001, 0.089473684210526316, 0.068421052631578938)	[ 0.13096875 -0.11718257  0.91232414]
(-0.10000000000000001, 0.089473684210526316, 0.078947368421052627)	[ 0.15415403 -0.13792729  0.93822548]
(-0.10000000000000001, 0.089473684210526316, 0.089473684210526316)	[ 0.17844802 -0.15966402  0.96857767]
(-0.10000000000000001, 0.089473684210526316, 0.10000000000000001)	[ 0.20400861 -0.18253402  1.00367437]
(-0.10000000000000001, 0.10000000000000001, -0.10000000000000001)	[-0.21024335  0.21024335  0.99152093]
(-0.10000000000000001, 0.10000000000000001, -0.089473684210526316)	[-0.18443951  0.18443951  0.95608314]
(-0.10000000000000001, 0.10000000000000001, -0.078947368421052641)	[-0.15998982  0.15998982  0.9253451 ]
(-0.10000000000000001, 0.10000000000000001, -0.068421052631578952)	[-0.13672574  0.13672574  0.89899651]
(-0.10000000000000001, 0.10000000000000001, -0.05789473684210527)	[-0.11448186  0.11448186  0.87677857]
(-0.10000000000000001, 0.10000000000000001, -0.047368421052631587)	[-0.09309648  0.09309648  0.85847819]
(-0.10000000000000001, 0.10000000000000001, -0.036842105263157898)	[-0.07241178  0.07241178  0.84392339]
(-0.10000000000000001, 0.10000000000000001, -0.026315789473684223)	[-0.05227351  0.05227351  0.8329797 ]
(-0.10000000000000001, 0.10000000000000001, -0.015789473684210534)	[-0.03253048  0.03253048  0.82554733]
(-0.10000000000000001, 0.10000000000000001, -0.0052631578947368446)	[-0.01303384  0.01303384  0.82155919]
(-0.10000000000000001, 0.10000000000000001, 0.0052631578947368307)	[ 0.00636374 -0.00636374  0.82097954]
(-0.10000000000000001, 0.10000000000000001, 0.01578947368421052)	[ 0.02580893 -0.02580893  0.8238033 ]
(-0.10000000000000001, 0.10000000000000001, 0.026315789473684209)	[ 0.04544867 -0.04544867  0.83005592]
(-0.10000000000000001, 0.10000000000000001, 0.036842105263157898)	[ 0.06543106 -0.06543106  0.83979391]
(-0.10000000000000001, 0.10000000000000001, 0.04736842105263156)	[ 0.08590619 -0.08590619  0.85310595]
(-0.10000000000000001, 0.10000000000000001, 0.057894736842105249)	[ 0.1070269  -0.1070269   0.87011468]
(-0.10000000000000001, 0.10000000000000001, 0.068421052631578938)	[ 0.12894933 -0.12894933  0.89097922]
(-0.10000000000000001, 0.10000000000000001, 0.078947368421052627)	[ 0.1518333  -0.1518333   0.91589851]
(-0.10000000000000001, 0.10000000000000001, 0.089473684210526316)	[ 0.17584231 -0.17584231  0.94511556]
(-0.10000000000000001, 0.10000000000000001, 0.10000000000000001)	[ 0.20114304 -0.20114304  0.97892279]
(-0.089473684210526316, -0.10000000000000001, -0.10000000000000001)	[-0.19076787 -0.21321115  1.01677503]
(-0.089473684210526316, -0.10000000000000001, -0.089473684210526316)	[-0.16745427 -0.18715478  0.9799895 ]
(-0.089473684210526316, -0.10000000000000001, -0.078947368421052641)	[-0.14532711 -0.16242442  0.94805917]
(-0.089473684210526316, -0.10000000000000001, -0.068421052631578952)	[-0.12424431 -0.13886129  0.92067283]
(-0.089473684210526316, -0.10000000000000001, -0.05789473684210527)	[-0.10406407 -0.1163069   0.89756949]
(-0.089473684210526316, -0.10000000000000001, -0.047368421052631587)	[-0.08464599 -0.09460434  0.87853325]
(-0.089473684210526316, -0.10000000000000001, -0.036842105263157898)	[-0.06585166 -0.07359892  0.86338924]
(-0.089473684210526316, -0.10000000000000001, -0.026315789473684223)	[-0.04754483 -0.05313834  0.85200026]
(-0.089473684210526316, -0.10000000000000001, -0.015789473684210534)	[-0.02959117 -0.03307249  0.84426429]
(-0.089473684210526316, -0.10000000000000001, -0.0052631578947368446)	[-0.01185794 -0.013253    0.84011261]
(-0.089473684210526316, -0.10000000000000001, 0.0052631578947368307)	[ 0.00578654  0.00646731  0.83950856]
(-0.089473684210526316, -0.10000000000000001, 0.01578947368421052)	[ 0.02347351  0.0262351   0.84244687]
(-0.089473684210526316, -0.10000000000000001, 0.026315789473684209)	[ 0.04133437  0.04619723  0.84895361]
(-0.089473684210526316, -0.10000000000000001, 0.036842105263157898)	[ 0.05950129  0.06650144  0.8590866 ]
(-0.089473684210526316, -0.10000000000000001, 0.04736842105263156)	[ 0.0781078   0.08729695  0.87293648]
(-0.089473684210526316, -0.10000000000000001, 0.057894736842105249)	[ 0.09728914  0.10873492  0.89062837]
(-0.089473684210526316, -0.10000000000000001, 0.068421052631578938)	[ 0.11718257  0.13096875  0.91232414]
(-0.089473684210526316, -0.10000000000000001, 0.078947368421052627)	[ 0.13792729  0.15415403  0.93822548]
(-0.089473684210526316, -0.10000000000000001, 0.089473684210526316)	[ 0.15966402  0.17844802  0.96857767]
(-0.089473684210526316, -0.10000000000000001, 0.10000000000000001)	[ 0.18253402  0.20400861  1.00367437]
(-0.089473684210526316, -0.089473684210526316, -0.10000000000000001)	[-0.1933412  -0.1933412   1.04223776]
(-0.089473684210526316, -0.089473684210526316, -0.089473684210526316)	[-0.16982409 -0.16982409  1.00413996]
(-0.089473684210526316, -0.089473684210526316, -0.078947368421052641)	[-0.14746293 -0.14746293  0.97104138]
(-0.089473684210526316, -0.089473684210526316, -0.068421052631578952)	[-0.1261254  -0.1261254   0.94263304]
(-0.089473684210526316, -0.089473684210526316, -0.05789473684210527)	[-0.10567681 -0.10567681  0.91865415]
